house_id,tariff_type,shifted_original_cost,shifted_optimized_cost,unshifted_cost,total_original_cost,total_optimized_cost,total_savings,savings_rate
1,Economy_7,40.416817066942336,20.483256362836247,421.66511900418413,462.08193607112645,442.1483753670204,19.93356070410607,4.313858462763577
1,Economy_10,33.93441863856517,17.79639895221909,409.3987528356114,443.33317147417654,427.19515178783047,16.13801968634607,3.6401561454749127
2,Economy_7,195.74352097454403,126.69476097156824,255.54309557937813,451.28661655392216,382.2378565509464,69.04876000297577,15.30042271810324
2,Economy_10,162.8523287816515,95.11979834918318,237.68237189172746,400.53470067337895,332.80217024091064,67.73253043246831,16.910527432104228
3,Economy_7,252.76023584000643,130.81041256205566,685.9327995142157,938.6930353542222,816.7432120762714,121.94982327795071,12.991448608322967
3,Economy_10,219.58572351125196,120.00408789078242,609.7681260945806,829.3538496058325,729.772213985363,99.58163562046946,12.007134912052036
4,Economy_7,45.304358494551884,24.7724949169332,557.3534159358969,602.6577744304489,582.1259108528301,20.531863577618765,3.4068860386017126
4,Economy_10,47.052458106841904,24.54637569505043,519.3220732197046,566.3745313265465,543.868448914755,22.506082411791454,3.9737101806252375
5,Economy_7,259.0095084253857,210.53661258232316,763.4814089467499,1022.4909173721355,974.018021529073,48.472895843062474,4.740667620563397
5,Economy_10,225.45116733858148,175.28455938030703,708.1313848001721,933.5825521387536,883.4159441804791,50.16660795827454,5.373558861329119
6,Economy_7,317.96035654386213,296.3657587728962,293.5459267236597,611.5062832675219,589.911685496556,21.594597770965947,3.531377904340966
6,Economy_10,253.9555681898004,233.90048000915178,274.92484924613484,528.8804174359352,508.82532925528665,20.055088180648568,3.7919891755262234
7,Economy_7,275.05364669956083,160.85078109996428,479.02095502778377,754.0746017273445,639.871736127748,114.20286559959652,15.144770204167354
7,Economy_10,254.70606616360098,134.96829995818948,423.68368524588726,678.3897514094882,558.6519852040767,119.7377662054115,17.65029114261127
8,Economy_7,22.587823557269118,17.340519159632034,370.43357668690703,393.02140024417616,387.77409584653907,5.2473043976370946,1.335119256706391
8,Economy_10,57.0451258603341,32.61288328302602,338.55477242916754,395.59989828950165,371.16765571219355,24.432242577308102,6.1759981948803455
9,Economy_7,244.7420730367608,155.91719783962137,428.32222093214773,673.0642939689085,584.2394187717691,88.82487519713936,13.197086220895644
9,Economy_10,231.69508389234974,137.06405763144784,393.89172897517716,625.5868128675269,530.955786606625,94.63102626090188,15.126761676311226
10,Economy_7,200.0882348323106,124.96086151127162,859.8347127920539,1059.9229476243645,984.7955743033256,75.12737332103893,7.088003282637106
10,Economy_10,159.73434193229934,95.43997991857779,813.469880504719,973.2042224370183,908.9098604232968,64.29436201372152,6.606461473494314
11,Economy_7,10.814204849743396,5.983693303028265,135.28414418138286,146.09834903112625,141.26783748441113,4.830511546715115,3.3063423226541566
11,Economy_10,9.554533043105588,5.70009514447848,127.9516695416367,137.50620258474228,133.65176468611517,3.8544378986271113,2.8031011155672774
13,Economy_7,168.96962131360712,118.0320960068048,450.1079652129096,619.0775865265167,568.1400612197144,50.937525306802286,8.227971164745195
13,Economy_10,164.29060663138944,113.2006667270201,405.8101514319091,570.1007580632986,519.0108181589292,51.08993990436943,8.961563229266375
15,Economy_7,69.42262621214937,38.436755247020535,205.45241079877815,274.8750370109275,243.88916604579867,30.98587096512881,11.272711884672521
15,Economy_10,61.90775098803316,37.55655731742928,178.09986160705878,240.00761259509193,215.65641892448807,24.351193670603863,10.146008873345977
16,Economy_7,112.97010399074335,58.58131772954723,472.6333605764502,585.6034645671936,531.2146783059974,54.388786261196174,9.287647623702792
16,Economy_10,97.94071818284291,51.95400831822591,438.6152246333237,536.5559428161666,490.5692329515496,45.98670986461701,8.570720440305115
17,Economy_7,32.389250878676876,16.805777359792987,419.5924511322517,451.9817020109286,436.3982284920447,15.583473518883864,3.4478107077235323
17,Economy_10,25.57305146029665,13.785095266809583,390.18105741452797,415.7541088748246,403.9661526813376,11.787956193487048,2.8353192288079514
18,Economy_7,60.03135444937014,30.829034425442636,551.0594316313005,611.0907860806707,581.8884660567431,29.20232002392754,4.778720394594939
18,Economy_10,48.74498240403347,26.676639796848995,515.412375433294,564.1573578373275,542.089015230143,22.06834260718449,3.911735316505047
19,Economy_7,12.890554456293305,8.305221087100193,219.56270918997893,232.45326364627223,227.86793027707913,4.585333369193108,1.972582917214138
19,Economy_10,12.549283807462968,9.30086571388314,206.97427810264395,219.5235619101069,216.27514381652708,3.2484180935798292,1.4797582844023047
20,Economy_7,92.6083678605563,47.768679237569806,374.60038641665477,467.2087542772111,422.3690656542246,44.8396886229865,9.59735625937813
20,Economy_10,83.31279529323123,44.916904337747404,349.9754892344907,433.2882845277219,394.89239357223806,38.39589095548382,8.861511452435138
21,Economy_7,85.28380429655091,53.879742682189615,339.1616090868731,424.445413383424,393.0413517690627,31.404061614361297,7.398845793626788
21,Economy_10,75.2379883081565,47.19606333232334,313.765990752137,389.0039790602935,360.9620540844603,28.041924975833183,7.208647336609078
